Name,hof_status,games,pa,hr,rbi,sb,avg,obp,slg,wrc,Offensive_value,defensive_value,war
Nolan Gorman,notHOF,315,1179,60,161,14,0.222,0.301,0.435,104,3.1,-17.5,2.6
Roger Maris,HOF,225,812,14,100,0,0.258,0.33,0.392,112,10.9,5.1,4.7
Roger Bresnahan,HOF,289,992,4,106,32,0.275,0.401,0.379,128,31.6,5.4,7.6
Jesse Haines,HOF,559,1213,3,79,2,0.185,0.207,0.217,9,-148.4,64.7,-3.8
Carlos Beltrán,HOF,296,1219,56,181,15,0.282,0.343,0.493,127,38.5,-18.3,6.1
Roger Connor,HOF,350,1536,27,240,39,0.304,0.39,0.49,117,41.7,7,8.8
Jake Beckley,HOF,395,1639,2,175,32,0.286,0.33,0.364,111,15.3,-22.1,5.5
Orlando Cepeda,HOF,431,1809,58,242,28,0.29,0.355,0.454,131,62,-23,11.2
Bobby Wallace,HOF,451,1873,18,275,40,0.287,0.337,0.414,106,13.6,56.8,13
Jesse Burkett,HOF,424,1951,24,214,84,0.378,0.444,0.495,157,152.8,-19.6,19
Tommy McCarthy,HOF,540,2471,17,295,270,0.307,0.371,0.393,114,74,5.8,15.8
Scott Rolen,HOF,661,2737,111,453,33,0.286,0.37,0.51,128,104.8,81.7,27.1
Chick Hafey,HOF,812,3277,127,618,56,0.326,0.379,0.568,135,168.2,-33,23.4
Johnny Mize,HOF,854,3582,158,653,14,0.336,0.419,0.6,169,311.2,-36.3,37.5
Joe Medwick,HOF,1216,5056,152,923,28,0.335,0.372,0.545,141,267.1,-23.6,39.3
Frankie Frisch,HOF,1311,5653,51,720,195,0.312,0.37,0.423,108,94.4,87.7,35.8
Jim Bottomley,HOF,1392,6008,181,1105,50,0.325,0.387,0.537,134,285,-109.9,36.5
Ted Simmons,HOF,1564,6450,172,929,11,0.298,0.366,0.459,126,182.5,66.3,49.2
Rogers Hornsby,HOF,1580,6714,193,1072,118,0.359,0.427,0.568,171,594.1,96.1,92.6
Ken Boyer,HOF,1667,7046,255,1001,97,0.293,0.356,0.475,119,154.4,105.5,50.7
Red Schoendienst,HOF,1795,7446,65,651,80,0.289,0.338,0.388,93,-58.5,107.9,29.4
Enos Slaughter,HOF,1820,7710,146,1148,64,0.305,0.384,0.463,128,270.5,-55.5,46.9
Albert Pujols,HOF,1814,7784,469,1397,85,0.326,0.417,0.614,166,644.9,-59.5,83.3
Ozzie Smith,HOF,1990,8242,27,664,433,0.272,0.35,0.344,97,8.7,300.3,59.5
Yadier Molina,HOF,2226,8554,176,1022,71,0.277,0.327,0.399,97,-109.9,373.8,55.6
Lou Brock,HOF,2289,9930,129,814,888,0.297,0.347,0.414,112,205,-158.1,41.6
Stan Musial,HOF,3026,12712,475,1951,78,0.331,0.417,0.559,157,901.6,-77.6,126.4
Gene Oliver,notHOF,251,759,30,100,8,0.25,0.327,0.438,98,-1.7,0.2,2.5
Art Nichols,notHOF,202,760,2,73,41,0.243,0.304,0.297,84,-13,-9.4,0.5
Aledmys Díaz,notHOF,190,761,24,85,8,0.283,0.338,0.461,111,9.3,0.1,3.5
Harry Arndt,notHOF,193,763,4,64,18,0.25,0.297,0.337,94,-7.4,-3,1.8
